Page Name,Primary Keyword,Title Length,Title Score,Description Length,Description Score,H1 Content,Word Count,Schema Score,Local SEO Score,Overall SEO Score,Primary Issues,Recommendations
acibadem-kuru-temizleme.html,"Acıbadem kuru temizleme",66,8,156,9,"Acıbadem'de Kuru Temizleme",894,7,9,8.2,"Missing breadcrumb schema","Add breadcrumb schema implementation"
altunizade-hali-yikama.html,"Altunizade halı yıkama",68,8,153,8,"Altunizade'de Lüks Halı Yıkama",990,9,9,8.8,"None major","Optimize for featured snippets, enhance content uniqueness"
altunizade-premium-temizlik.html,"Altunizade premium temizlik",67,7,130,7,"Altunizade'de Premium Temizlik",952,9,8,8.0,"Short description","Expand meta description to 150+ characters"
atasehir-hali-yikama.html,"Ataşehir halı yıkama",70,8,164,9,"Ataşehir'de Business Halı Yıkama",981,9,9,8.8,"Title slightly long","Optimize title to under 70 characters"
atasehir-premium-temizlik.html,"Ataşehir premium iş kıyafetleri",76,8,148,8,"Ataşehir'de Premium İş Kıyafetleri",989,9,9,8.6,"Title too long","Shorten title to 60-70 characters"
bagdat-caddesi-haute-couture.html,"Bağdat Caddesi haute couture",78,9,157,9,"Bağdat Caddesi'nde Haute Couture Bakımı",1016,9,10,9.4,"Title too long","Optimize title length while maintaining luxury positioning"
bagdat-caddesi-koltuk-yikama.html,"Bağdat Caddesi koltuk yıkama",74,8,172,8,"Bağdat Caddesi'nde VIP Prestij Mobilya Temizleme",1016,9,10,8.8,"Description too long, title long","Optimize both title and description length"
barbaros-koltuk-yikama.html,"Barbaros koltuk yıkama",58,7,154,8,"Barbaros'ta VIP Koltuk Yıkama",988,9,8,8.2,"Limited local references","Add more Barbaros-specific landmarks and references"
bostanci-koltuk-yikama.html,"Bostancı koltuk yıkama",62,8,146,8,"Bostancı'da Premium Koltuk Yıkama",977,9,9,8.6,"None major","Add more local landmarks, enhance premium positioning"
caddebostan-hali-yikama.html,"Caddebostan halı yıkama",61,7,138,8,"Caddebostan'da Halı Yıkama",967,9,9,8.4,"None major","Enhance content depth, add luxury residential references"
camlica-kuru-temizleme.html,"Çamlıca kuru temizleme",62,8,157,8,"Çamlıca'da Elite Kuru Temizleme",975,9,9,8.6,"None major","Add more panoramic/hill references, expand service details"
erenkoy-hali-yikama.html,"Erenköy halı yıkama",66,8,152,8,"Erenköy'de Antik Halı Yıkama",975,9,9,8.6,"None major","Optimize for long-tail antique keywords"
fenerbahce-kuru-temizleme.html,"Fenerbahçe kuru temizleme",66,8,147,8,"Fenerbahçe'de Kuru Temizleme",948,9,9,8.2,"None major","Add sports-related content, team uniform cleaning"
fikirtepe-koltuk-yikama.html,"Fikirtepe koltuk yıkama",64,8,162,8,"Fikirtepe'de Modern Koltuk Temizliği",980,9,9,8.6,"None major","Enhance modern urban development theme"
goztepe-hali-yikama.html,"Göztepe halı yıkama",57,7,167,8,"Göztepe'de Lüks Halı Bakımı",979,9,9,8.4,"Description too long","Optimize description to under 160 characters"
icerenkoy-hali-yikama.html,"İçerenköy contemporary art halı",109,6,179,7,"İçerenköy Contemporary Art Collection Restoration",1126,9,8,7.6,"Title too long, description too long","Significantly shorten both title and description"
kadikoy-koltuk-yikama.html,"Kadıköy koltuk yıkama",70,8,151,9,"Kadıköy'de Sanat Mobilya Temizleme",976,9,10,9.2,"Title slightly long","Minor title optimization, enhance artistic positioning"
kadikoy-kuru-temizleme.html,"Kadıköy kuru temizleme",71,8,156,8,"Kadıköy'de Premium Kuru Temizleme",972,9,9,8.6,"Title slightly long","Optimize title length, enhance central location benefits"
kadikoy-luxury-kiyafet.html,"Kadıköy luxury kıyafet",76,9,164,9,"Kadıköy'de Luxury Kıyafet Bakımı",993,9,10,9.2,"Title slightly long","Minor title optimization, maintain luxury brand focus"
kalamis-koltuk-yikama.html,"Kalamış koltuk yıkama",66,7,137,8,"Kalamış'ta Koltuk Yıkama",945,9,9,8.2,"None major","Enhance luxury seaside positioning"
kartal-koltuk-yikama.html,"Kartal koltuk yıkama",68,8,174,8,"Kartal'da Premium Kalite Mobilya Temizleme",997,9,9,8.6,"Description too long","Optimize description length"
kozyatagi-kuru-temizleme.html,"Kozyatağı kuru temizleme",65,8,155,8,"Kozyatağı'da Kuru Temizleme",911,7,9,8.0,"Missing breadcrumb schema","Add breadcrumb schema implementation"
kucukbakkalkoy-hali-yikama.html,"Küçükbakkalköy halı yıkama",77,8,177,8,"Küçükbakkalköy'de Modern Halı Yıkama",987,9,9,8.4,"Title long, description long","Optimize both meta tag lengths"
kucukbakkalkoy-koltuk-yikama.html,"Kucukbakkalkoy koltuk yikama",68,7,140,7,"Kucukbakkalkoy'de Koltuk Yikama",956,9,8,7.6,"Missing Turkish characters","Fix character encoding issues"
maltepe-hali-yikama.html,"Maltepe halı yıkama",66,8,172,8,"Maltepe'de Marina Halı Yıkama",997,9,9,8.6,"Description too long","Optimize description length"
maltepe-luxury-hizmet.html,"Maltepe luxury hizmet",58,7,101,6,"Maltepe'de Luxury Hizmet",926,9,7,7.4,"Short description, char issues","Fix encoding and expand description"
moda-koltuk-yikama.html,"Moda koltuk yıkama",64,8,158,8,"Moda'da Chic Mobilya Temizleme",973,9,9,8.6,"None major","Enhance fashion district theme, add trendy positioning"
pendik-koltuk-yikama.html,"Pendik koltuk yıkama",66,8,169,8,"Pendik'te Marina Sahil Mobilya Temizleme",978,9,9,8.6,"Description too long","Optimize description length"
sahrayicedit-premium-bakim.html,"Sahrayicedit premium bakım",64,7,124,7,"Sahrayicedit'de Premium Bakim",935,9,8,7.8,"Missing Turkish characters","Fix character encoding issues"
suadiye-hali-yikama.html,"Suadiye halı yıkama",63,8,145,8,"Suadiye'de Halı Yıkama",961,9,9,8.4,"None major","Add more premium seaside residential positioning"
umraniye-hali-yikama.html,"Ümraniye halı yıkama",65,8,162,8,"Ümraniye'de VIP Halı Yıkama",984,9,9,8.6,"None major","Enhance VIP positioning, add exclusive service details"
umraniye-vip-temizlik.html,"Umraniye VIP temizlik",58,7,111,7,"Umraniye'de VIP Temizlik",932,9,8,7.8,"Short description, char issues","Fix encoding and expand description"
uskudar-gelinlik-temizleme.html,"Üsküdar gelinlik temizleme",70,9,157,9,"Üsküdar'da Gelinlik Temizleme",954,9,10,9.2,"Title slightly long","Minor optimization, enhance wedding service positioning"
uskudar-hali-yikama.html,"Üsküdar halı yıkama",68,9,174,9,"Üsküdar'da Tarihi Halı Yıkama",971,9,10,9.2,"Description too long","Optimize description while maintaining historic theme"
uskudar-koltuk-yikama.html,"Üsküdar koltuk yıkama",70,8,157,8,"Üsküdar'da Antik Mobilya Temizleme",973,9,10,9.0,"Title slightly long","Minor optimization, enhance historic furniture positioning"
uskudar-luxury-kiyafet.html,"Üsküdar luxury kıyafet",66,8,144,8,"Uskudar'da Luxury Kiyafet Bakimi",972,9,9,8.8,"Missing Turkish characters","Fix character encoding issues"