Site,URL,Category,Authority,Country,Language,Status,Priority,NAP Requirements,Notes
Google My Business,https://business.google.com,Local Business,Very High,Global,TR,Not Claimed,Critical,"Name, Address, Phone, Website","Primary local listing platform"
Yandex Maps,https://maps.yandex.com.tr,Local Maps,Very High,Turkey,TR,Not Claimed,Critical,"Name, Address, Phone, Website","Major search engine in Turkey"
Yelp,https://yelp.com,Reviews,High,Global,EN/TR,Not Claimed,High,"Name, Address, Phone, Website, Hours","International review platform"
Foursquare,https://foursquare.com,Local Business,High,Global,EN,Not Claimed,High,"Name, Address, Phone, Website","Location discovery platform"
Yellow Pages Turkey,https://www.yellowpages.com.tr,Business Directory,Medium,Turkey,TR,Not Claimed,High,"Name, Address, Phone, Category","Turkish business directory"
Altın Sayfa,https://www.altinsayfa.com,Business Directory,Medium,Turkey,TR,Not Claimed,High,"Name, Address, Phone, Category","Turkish yellow pages"
Rehberim,https://www.rehberim.com,Business Directory,Medium,Turkey,TR,Not Claimed,High,"Name, Address, Phone, Category","Turkish business listings"
İstanbul Rehberi,https://www.istanbulrehberi.com,Local Directory,Medium,Turkey,TR,Not Claimed,High,"Name, Address, Phone, Category","Istanbul-specific directory"
Kadıköy Rehberi,https://www.kadikoyrehberi.com,Local Directory,Low,Turkey,TR,Not Claimed,Medium,"Name, Address, Phone","Kadıköy district directory"
İş Dünyası,https://www.isdunyasi.com,Business Directory,Medium,Turkey,TR,Not Claimed,Medium,"Name, Address, Phone, Category","Turkish business portal"
Habertürk Harita,https://harita.haberturk.com,Maps,Medium,Turkey,TR,Not Claimed,Medium,"Name, Address, Phone","News portal maps section"
Sabah Harita,https://harita.sabah.com.tr,Maps,Medium,Turkey,TR,Not Claimed,Medium,"Name, Address, Phone","News portal maps section"
Hürriyet Harita,https://harita.hurriyet.com.tr,Maps,Medium,Turkey,TR,Not Claimed,Medium,"Name, Address, Phone","News portal maps section"
Zomato,https://www.zomato.com/turkey,Business Listings,Medium,Global,TR,Not Listed,Low,"Name, Address, Phone","Food & service listings"
TripAdvisor,https://www.tripadvisor.com.tr,Reviews,High,Global,TR,Not Listed,Medium,"Name, Address, Phone, Website","Travel & local services"
Beyaz Sayfa,https://www.beyazsayfa.com,Phone Directory,Low,Turkey,TR,Not Listed,Low,"Name, Phone, Address","Turkish phone directory"
Haritane,https://www.haritane.com,Maps,Low,Turkey,TR,Not Listed,Low,"Name, Address, Phone","Turkish maps platform"
Facebook Places,https://www.facebook.com/places,Social Business,High,Global,TR,Not Claimed,High,"Name, Address, Phone, Website, Hours","Social media business listings"
Instagram Business,https://business.instagram.com,Social Business,Medium,Global,TR,Not Set Up,Medium,"Name, Bio, Contact Info","Social media business profile"
LinkedIn Company,https://www.linkedin.com/company,Professional Network,Medium,Global,EN,Not Created,Medium,"Company Name, Address, Website","B2B networking platform"
Apple Maps,https://mapsconnect.apple.com,Maps,High,Global,TR,Not Claimed,High,"Name, Address, Phone, Website","Apple ecosystem maps"
Bing Places,https://www.bingplaces.com,Maps,Medium,Global,EN,Not Claimed,Medium,"Name, Address, Phone, Website","Microsoft search engine maps"
HERE Places,https://developer.here.com,Maps,Medium,Global,EN,Not Listed,Low,"Name, Address, Phone","Location platform"
Mapquest,https://www.mapquest.com,Maps,Low,Global,EN,Not Listed,Low,"Name, Address, Phone","International maps platform"
Factual,https://www.factual.com,Data Aggregator,High,Global,EN,Not Listed,High,"Name, Address, Phone, Category","Data distribution network"
Localeze,https://www.localeze.com,Data Aggregator,High,Global,EN,Not Listed,High,"Name, Address, Phone, Website","Local business data distributor"
Acxiom,https://www.acxiom.com,Data Aggregator,High,Global,EN,Not Listed,High,"Name, Address, Phone, Website","Business data aggregator"
Neustar Localeze,https://localeze.com,Data Provider,High,Global,EN,Not Listed,High,"Name, Address, Phone, Website","Location data services"
Thomson Local,https://www.thomsonlocal.com,Business Directory,Medium,UK,EN,Not Listed,Low,"Name, Address, Phone, Website","UK business directory"
Cylex,https://www.cylex-international.com,Business Directory,Medium,Global,EN,Not Listed,Medium,"Name, Address, Phone, Website","International business directory"
Hotfrog,https://www.hotfrog.com.tr,Business Directory,Low,Global,TR,Not Listed,Low,"Name, Address, Phone, Website","Global business directory"
Yasni,https://www.yasni.com,People/Business Search,Low,Global,EN,Not Listed,Low,"Name, Location Info","Person and business search"
Spoke,https://www.spoke.com,Business Network,Low,Global,EN,Not Listed,Low,"Name, Contact Info","Business networking platform"
Manta,https://www.manta.com,Business Directory,Medium,Global,EN,Not Listed,Medium,"Name, Address, Phone, Website","Small business directory"
Citysearch,https://citysearch.com,Local Search,Medium,US,EN,Not Listed,Low,"Name, Address, Phone, Website","Local business search"
Superpages,https://www.superpages.com,Business Directory,Medium,US,EN,Not Listed,Low,"Name, Address, Phone, Website","US business directory"
Merchant Circle,https://www.merchantcircle.com,Business Directory,Low,US,EN,Not Listed,Low,"Name, Address, Phone, Website","Small business directory"
İnfobird,https://www.infobird.com,Business Directory,Low,Turkey,TR,Not Listed,Low,"Name, Address, Phone","Turkish business listings"
Veri Kaynağı,https://www.verikaynagi.com,Data Directory,Low,Turkey,TR,Not Listed,Low,"Name, Address, Phone","Turkish data directory"
İş Arama,https://www.isarama.com,Business Search,Low,Turkey,TR,Not Listed,Low,"Name, Address, Phone","Turkish business search"
Türkiye Rehberi,https://www.turkiyerehberi.net,National Directory,Low,Turkey,TR,Not Listed,Medium,"Name, Address, Phone, Category","National Turkish directory"